ID,Name,Name in Ελληνικά,Type,Attrib. Set Name,SKU,Barcode,Price,Special,Cost,Gross Profit %,Qty,Stock Status,Visibility,Status,Websites
109646,Wilson Blade 102 SW Autograph V7.0 Tennis Racquet-L4,Wilson Blade 102 SW Autograph V7.0 Tennis Racquet-L4,Simple Product,Racquets,WR059111-L4,97512504096,€270.00,€189.90,€135.00,11.85%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Running Greek, Romanian Site"
109645,Wilson Blade 102 SW Autograph V7.0 Tennis Racquet-L3,Wilson Blade 102 SW Autograph V7.0 Tennis Racquet-L3,Simple Product,Racquets,WR059111-L3,97512504065,€270.00,€189.90,€135.00,11.85%,10,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Running Greek, Romanian Site"
109644,Wilson Blade 102 SW Autograph V7.0 Tennis Racquet-L2,Wilson Blade 102 SW Autograph V7.0 Tennis Racquet-L2,Simple Product,Racquets,WR059111-L2,97512504058,€270.00,€189.90,€135.00,11.85%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Running Greek, Romanian Site"
109641,Wilson Roland Garros Team Tennis Racquet-L1,Wilson Roland Garros Team Tennis Racquet-L1,Simple Product,Racquets,WR030310-L1,97512432092,€140.00,€129.89,€69.30,33.84%,5,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
108579,Wilson Pro Staff 25 V13.0 Junior Tennis Racquet,Παιδική ρακέτα τένις Wilson Pro Staff 25&quot; V13.0,Simple Product,Racquets,WR050310,97512502092,€115.00,€99.90,€58.50,27.39%,5,In Stock,"Catalog, Search",Enabled,"Main Website, webgreek, Romanian Site"
108575,Wilson Burn 100ULS V4.0 Tennis Racquet-L3,Ρακέτα Τέννις Wilson Burn 100ULS V4.0,Simple Product,Racquets,WR045010-L3,97512441452,€150.00,€109.90,€65.60,25.98%,7,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
108573,Wilson Burn 100ULS V4.0 Tennis Racquet-L1,Ρακέτα Τέννις Wilson Burn 100ULS V4.0,Simple Product,Racquets,WR045010-L1,97512441438,€150.00,€109.90,€65.60,25.98%,6,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
108567,Wilson Burn 100 V4.0 Tennis Racquet-L3,Ρακέτα τέννις Wilson Burn 100 V4.0,Simple Product,Racquets,WR044710-L3,97512439480,€180.00,€129.90,€85.00,18.86%,9,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
108565,Wilson Burn 100 V4.0 Tennis Racquet-L2,Ρακέτα τέννις Wilson Burn 100 V4.0,Simple Product,Racquets,WR044710-L2,97512439442,€180.00,€129.90,€85.00,18.86%,8,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
107551,Wilson Pro Staff RF 97 V13 Autograph Demo Tennis Racquet-L3,Wilson Pro Staff RF 97 V13 Autograph Demo Tennis Racquet-L3,Simple Product,Racquets,WR043711-DEMO-L3,,€320.00,€239.00,€100.00,48.12%,1,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
107547,Wilson Pro Staff 97 V13 Demo Tennis Racquet-L3,Wilson Pro Staff 97 V13 Demo Tennis Racquet-L3,Simple Product,Racquets,WR043811-DEMO-L3,,€290.00,€234.90,€93.34,50.73%,2,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
107073,Wilson Pro Staff 97L V13 Tennis Racquet-L1,Wilson Pro Staff 97L V13 Tennis Racquet-L1,Simple Product,Racquets,WR043911-L1,97512464192,€250.00,€214.90,€121.50,29.89%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106985,Wilson Pro Staff 97 UL V13 Tennis Racquet-L3,Wilson Pro Staff 97 UL V13 Tennis Racquet-L3,Simple Product,Racquets,WR057410-L3,97512502153,€220.00,€194.90,€107.10,31.86%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
106984,Wilson Pro Staff 97 UL V13 Tennis Racquet-L2,Wilson Pro Staff 97 UL V13 Tennis Racquet-L2,Simple Product,Racquets,WR057410-L2,97512502207,€220.00,€194.90,€107.10,31.86%,8,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
