name,prices,sale_tag,url
babolat boost s racquet,"[79.91, 89.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Boost_S_Racket/descpageRCQBA-BABOSR-EN.html
babolat aero g racquet,"[99.99, 139.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Aero_G_Racket/descpageRCQBA-BAGR-EN.html
adidas adizero ubersonic 4 clay red/black men's shoe,"[125.9, 140.0, 0]",New,https://www.tenniswarehouse-europe.com/adidas_adizero_Ubersonic_4_Clay_Red_Black_Mens_Shoe_/descpageMSADIT-AMU4CRB-EN.html
babolat boost aero racquet,"[80.0, 99.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Boost_Aero_Racket/descpageRCQBA-BABOAE-EN.html
babolat pure aero rafa junior 26 racquet,"[119.95, 0, 0]",New,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Rafa_Junior_26_Racket/descpageRCQBA-BPARA26-EN.html
babolat pure drive 26 junior racquet,"[79.91, 99.95, 0]",Sale,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_26_Junior_Racket/descpageRCQBA-BRPJ-EN.html
babolat pure drive 26 junior racquet blue/pink,"[79.91, 99.95, 0]",Sale,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_26_Junior_Racket_Blue_Pink/descpageRCQBA-BRPJPW-EN.html
babolat strike 26 junior racquet,"[57.91, 64.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Strike_26_Junior_Racket_/descpageRCQBA-BRS26J-EN.html
adidas defiant generation black men's shoe,"[89.9, 100.0, 0]",New,https://www.tenniswarehouse-europe.com/adidas_Defiant_Generation_Black_Mens_Shoe/descpageMSADIT-AMDGBK-EN.html
adidas courtjam bounce clay black/silver/red men's shoe,"[71.9, 80.0, 0]",New,https://www.tenniswarehouse-europe.com/adidas_CourtJam_Bounce_Clay_Black_Silver_Red_Mens_Shoe/descpageMSADIT-AMCJCBS-EN.html
adidas solecourt primeblue mia.pulco navy/pk men's shoe,"[119.9, 160.0, 0]",,https://www.tenniswarehouse-europe.com/adidas_SoleCourt_Primeblue_MiaPulco_Navy_Pk_Mens_Shoe/descpageMSADIT-AMSPMPN-EN.html
adidas solecourt primeblue sky/white/yellow men's shoe,"[104.9, 160.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_SoleCourt_Primeblue_Sky_White_Yellow_Mens_Shoe/descpageMSADIT-AMSSCSY-EN.html
babolat pure aero junior 26 racquet,"[91.9, 114.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Junior_26_Racket/descpageRCQBA-BPARJ26-EN.html
babolat pure strike junior 26 racquet,"[74.9, 94.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Junior_26_Racket/descpageQBA-BRPS26-EN.html
babolat aero junior 26 racquet,"[59.9, 69.95, 0]",Sale,https://www.tenniswarehouse-europe.com/Babolat_Aero_Junior_26_Racket/descpageRCQBA-BAJR26-EN.html
babolat nadal junior 26 racquet,"[31.46, 37.5, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_26_Racket/descpageRCQBA-BNJ26R-EN.html
babolat pure drive 25 junior racquet,"[69.9, 95.95, 0]",Sale,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_25_Junior_Racket_/descpageRCQBA-BRPJU-EN.html
adidas adizero ubersonic 4 black/wh/silver men's shoe,"[125.9, 140.0, 0]",New,https://www.tenniswarehouse-europe.com/adidas_adizero_Ubersonic_4_Black_Wh_Silver_Mens_Shoe_/descpageMSADIT-AMU4BWS-EN.html
adidas adizero ubersonic 4 clay black/white men's shoe,"[124.91, 140.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_adizero_Ubersonic_4_Clay_Black_White_Mens_Shoe_/descpageMSADIT-AMU4CBW-EN.html
adidas adizero ubersonic 4 yellow/black/sky men's shoe,"[109.9, 140.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_adizero_Ubersonic_4_Yellow_Black_Sky_Mens_Shoe/descpageMSADIT-AMU4YBS-EN.html
babolat pure strike junior 25 racquet,"[79.91, 89.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Junior_25_Racket/descpageRCQBA-BRPS25-EN.html
babolat pure aero junior 25 racquet,"[89.9, 104.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Junior_25_Racket/descpageRCQBA-BPARJ25-EN.html
babolat pure drive 25 junior racquet blue/pink,"[75.9, 95.95, 0]",Sale,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_25_Junior_Racket_Blue_Pink/descpageRCQBA-BRPJUW-EN.html
babolat drive 25 junior racquet,"[53.9, 59.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Drive_25_Junior_Racket_/descpageRCQBA-BRDJU-EN.html
babolat drive 25 junior racquet pink/white,"[53.9, 59.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Drive_25_Junior_Racket_Pink_White/descpageRCQBA-BRDJUW-EN.html
